"hagrid";"gene_name";"hgncid";"entrezid";"organism";"cancer_type";"senescence_effect";"description";"notes"
"11";"ASF1A";"20995";"25842";"Human";"No";"Induces";"Ectopic expression of ASF1A in primary human fibroblasts caused cells to assume markers of senescence, including a large flat morphology, increased SA-beta-galactosidase activity and formation of SA-heterochromatin foci. In contrast, knockdown of ASF1A decreased the number of cells containing SA-heterochromatin foci and increased the BrdU-positive cells in Ras-induced senescence.";""
"12";"ASPH";"757";"444";"Human";"Yes";"Inhibits";"Inhibition of ASPH expression and enzymatic activity significantly reduced cell proliferation and colony formation but induced tumor cell senescence.";"Human hepatocellular carcinoma"
"13";"ATF7IP";"20092";"55729";"Human";"No";"Inhibits";"Depletion of MCAF1 (ATF7IP) in fibroblasts induced premature senescence that was characterized by cell cycle arrest, increased SA-beta-galactosidase activity and SA-heterochromatin foci formation.";"IMR-90 cells"
"14";"ATM";"795";"472";"Human";"No";"Inhibits";"Human diploid fibroblasts from ataxia telangiectasia (an autosomal recessive disease caused by defects in the ATM gene) patients had an accelerated rate of telomere shortening and underwent premature cellular senescence compared to control cultures.";""
"15";"AURKA";"11393";"6790";"Human";"Yes";"Inhibits";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including AURKA) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"16";"AXL";"905";"558";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"17";"BAG3";"939";"9531";"Human";"Yes";"Inhibits";"Depletion of BIS (BAG3) induced G1 arrest and cellular senescence through the accumulation of p27, independent of p53, p21 or p16. The increased p27 expression in BIS-depleted cells was attributable to an impairment of the ubiquitin-mediated degradation of p27, which was caused by a decrease in S-phase kinase-associated protein 2 (SKP2) at the transcriptional level. As an underlying molecular mechanism, the loss of activity of signal transducer and activator of transcription 3 (STAT3) was specifically linked to the suppression of SKP2 expression.";"A172 human glioblastoma cells, Hep2 human laryngeal cancer cells"
"18";"BHLHE40";"1046";"8553";"Human";"Yes";"Induces";"BHLHE40 overexpression induced cellular senescence and inhibited cell growth and colony formation in esophageal cancer cells (EC9706).";"ESCC cell line EC9706"
"19";"BCL6";"1001";"604";"Human";"No";"Inhibits";"BCL6 expression extended the replicative lifespan of primary human B cells and induced cyclin D1 expression, allowing cells to overcome the senescence program induced by the p19ARF-p53 pathway.";""
"20";"BLK";"1057";"640";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"21";"BLVRA";"1062";"644";"Human";"No";"Inhibits";"RNA interference of BLVRA resulted in an increased percentage of human diploid fibroblasts being arrested in the G0-G1 phase compared to controls. This was also accompanied by an upregulation of CDK inhibitor family members p16, p21 and p53, and a high expression of senescence-associated SA-beta-galactosidase.";""
"22";"BMI1";"1066";"648";"Human";"No";"Inhibits";"Overexpression of BMI1 extended replicative life span in WI-38 human fibroblasts. BMI1 was also downregulated when fibroblasts underwent replicative senescence, but not quiescence.";""
"23";"BRAF";"1097";"673";"Human";"No";"Induces";"Retroviral delivery of BRAF into normal human fibroblasts resulted in a cessation of proliferation, along with induction of senescence associated p16.";"Could also add in melanocytes?"
"24";"BRD7";"14310";"29117";"Human";"No";"Induces";"BRD7 depletion significantly delayed replicative senescence and increased proliferation rate in both young and mid-passage foreskin fibroblasts. Contrastly, overexpression of BRD7 induced premature senescence.";""
"25";"BRCA1";"1100";"672";"Human";"Yes";"Inhibits";"BRCA1 deficiency resulted in increased senescence after induced DNA damage through drugs that generate intra- and interstrand cross links.";"HBL100 are considered partially transformed, MCF-7 and T47D are cancer cell lines; Second, drug-induced I guess is stress-induced"
"26";"BTG3";"1132";"10950";"Human";"No";"Inhibits";"Loss of BTG3 in normal lung fibroblasts induced cellular senescence, exhibiting enhanced ERK-AP1 signalling and elevated expression of the histone H3K27 demethylase JMJD3/KDM6B, leading to acute induction of p16, a senescence associated kinase inhibitor.";"IMR-90 and WI-38 cells"
"27";"C11orf31";"18251";"280636";"Human";"No";"Inhibits";"SelH (C11orf31) was knocked down in lung fibroblasts (MCR-5). SelH shRNA MRC-5 cells under ambient O2 displayed a distinct profile of senescence including increased SA-beta-galactosidase expression, autofluorescence, growth inhibition, and ATM pathway activation. Such senescence phenotypes were alleviated in the presence of ATM kinase inhibitors, p53 shRNA knockdown or by maintaining the cells under 3% O2.";"MRC-5 diploid lung fibroblasts, HeLa cervical cancer cells, and HCT116 colorectal adenocarcinoma cells"
"28";"CAV1";"1527";"857";"Human";"No";"Induces";"CAV1 reduction through RNA interference reversed some of the morphological changes of senescent foreskin fibroblasts.";"My impression that they didn't do a full CS experiment (which they should have)"
"29";"CBX7";"1557";"23492";"Human";"No";"Inhibits";"Ectopic expression of CBX7 extended replicative lifespan in normal human keratinocytes and fibroblasts. CBX7 expression was also found to be downregulated during replicative senescence and its ablation through RNA interference inhibited growth of normal cells. Taken together, these data showed that CBX7 controls cellular lifespan through regulation of both the p16(Ink4a)/Rb and the Arf/p53 pathways.";""
"30";"CBX8";"15962";"57332";"Human";"No";"Inhibits";"Inhibition of CBX8 expression lead to a complete growth arrest and increased levels of p16 in telomerase-immortalized TIG-3 human diploid fibroblasts. Moreover, overexpressing CBX8 bypassed oncogene- and stress-induced senescence in mouse embryonic fibroblasts.";""
"31";"CCND1";"1582";"595";"Human";"No";"Induces";"Endogenous or ectopical expression of cyclin D1 (CCND1) in normal human diploid fibroblasts resulted in replicative senescence, with cells being unable to enter the S phase. Moreover, senescent cells expressed significantly higher levels of cyclin D1 than control cells.";""
"32";"CDK1";"1722";"983";"Human";"Yes";"Inhibits";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including CDK1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"33";"CDK18";"8751";"5129";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"34";"CDK2AP1";"14002";"8099";"Human";"No";"Inhibits";"Knockdown of CDK2AP1 (using short-hairpin RNA) in human dermal fibroblasts resulted in reduced proliferation and increased SA-beta-galactosidase activity.";"Primary human dermal fibroblasts"
"35";"CDK6";"1777";"1021";"Human";"No";"Inhibits";"Overexpression of CDK6 in near senescent foreskin fibroblasts resulted in an increase in their replicative capacity.";""
"36";"CDK4";"1773";"1019";"Human";"No";"Inhibits";"Overexpression of CDK4 in near senescent foreskin fibroblasts resulted in an increase in their replicative capacity.";""
"37";"CDKN1A";"1784";"1026";"Human";"No";"Induces";"p21 (CDKN1A) is a common marker of senescence. Inactivation of p21 in normal diploid human fibroblasts resulted in a bypass of replicative senescence. After an initial decline in proliferation, fibroblast cells resumed growth and cultures containing a high proportion of senescent cells spontaneously give rise to new, non-senescent colonies.";""
"38";"CDKN1C";"1786";"1028";"Human";"Yes";"Induces";"Upregulation of CDKN1C by cDNA transfection in liver cancer cells decreased tumor growth and resulted in a flat and lengthened cell morphology, increased SA-beta-galactosidase activity and increased p16 expression.";"HepG2 and SNU398 HCC cell lines"
"39";"CDKN1B";"1785";"1027";"Human";"No";"Induces";"p27 (CDKN1B) is a common marker of senescence. Ectopic expression of p27 in young human diploid fibroblasts (TIG-3) resulted in a significantly lower rate of division, induced features of replicative senescence in young cells and caused growth arrest.";""
"40";"CDKN2A";"1787";"1029";"Human";"No";"Induces";"p16 (CDKN2A) is a common marker of senescence. Overexpression of p16 caused G1 arrest in early passage of human diploid fibroblasts, these also displayed several phenotypic features of cellular senescence.";""
"41";"CDKN2AIP";"24325";"55602";"Human";"No";"Induces";"CARF (CDKN2AIP) was required for replicative and stress-induced senescence and its overexpression caused premature senescence in human fibroblasts. A lack of CARF caused aneuploidy and apoptosis.";""
"42";"CDKN2B";"1788";"1030";"Human";"Yes";"Induces";"Overexpression of p15 (CDKN2B) inhibited cell proliferation and caused replicative senescence in human glioma cells.";"Maybe find another reference?"
"43";"CENPA";"1851";"1058";"Human";"No";"Inhibits";"RNA interference of CENP-A (CENPA) lead to premature senescence in human primary fibroblasts, dependent on p53 but not on p16. Additionally, CENP-A protein levels were diminished in senescent cells compared to young cells.";""
"44";"CEBPB";"1834";"1051";"Human";"Yes";"Induces";"Loss of C/EBP-beta (CEBPB) expression prevented growth arrest following androgen deprivation or anti-androgen challenge. Suppression of C/EBP-beta under low androgen conditions resulted in reduced expression of SASP genes, a decrease in SA-heterochromatin foci and increased numbers of Ki67-positive cells. Prostate cancer cells expressing C/EBP-beta exhibited morphological changes, reduced cell growth and increased senescence. It was also found that senescence contributed to cell survival under androgen deprivation, and C/EBP-beta-deficient cells were significantly more susceptible to killing by cytotoxic chemotherapy following androgen deprivation.";"LNCaP cells"
"45";"CHEK1";"1925";"1111";"Human";"Yes";"Induces";"CHEK1 knockdown resulted in a reduced G2 checkpoint arrest upon H2O2-induced senescence, both in wild type and p53 deficient cells. CHEK1 was shown to be required for G1 checkpoint arrest and knocking it down reversed the senescent phenotype.";""
"46";"CKB";"1991";"1152";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"47";"CPEB1";"21744";"64506";"Human";"No";"Induces";"Knockdown of CPEB1 caused skin and lung cells to bypass the M1 stage of replicative senescence and inhibited stress-induced cellular senescence. Reintroduction of CPEB1 into the knockdown cells restored a senescence-like phenotype.";""
"48";"CSNK1A1";"2451";"1452";"Human";"Yes";"Inhibits";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including CSNK1A1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"49";"CTNNAL1";"2512";"8727";"Human";"Yes";"Inhibits";"Knockdown of alpha-Catulin (CTNNAL1) in cancer cell lines (OC2 and A549) dramatically decreased cell proliferation and contributed to cellular senescence.";"OC2 and A549 cancer cell lines"
"50";"CSNK2A1";"2457";"1457";"Human";"No";"Inhibits";"Treatment with inhibitors or RNA interference of CKII (CSNK2A1) in lung fibroblasts (IMR-90 cells) lead to increased expression of p53 and p21 and a senescent phenotype, including an increase in SA-beta-galactosidase activity.";""
"51";"CXCL1";"4602";"2919";"Human";"No";"Induces";"Treatment of normal ovarian stromal fibroblasts with Gro-1 (CXCL1) in serum-free medium, lead to induced cellular senescence, with cells becoming enlarged and flattened, showing growth arrest and increased SA-beta-galactosidase activity after 10 days of treatment.";""
"52";"DDB2";"2718";"1643";"Human";"No";"Induces";"DDB2-deficient cells failed to undergo premature senescence induced by Ras oncogenic stress.";""
"53";"CYR61";"2654";"3491";"Human";"No";"Induces";"By binding to integrins and heparan sulphate proteoglycans, recombinant CCN1 (CYR61) induced fibroblast senescence, resulting in cells displaying enlarged and flattened morphology, increased SA-beta-galactosidase activity, increased expression of p53 and p16 markers and upregulated expression of proinflammatory cytokines and matrix degrading enzymes.";""
"54";"DEK";"2768";"7913";"Human";"No";"Inhibits";"Ectopic expression of DEK extended the cellular lifespan of keratinocytes.";"Paper also contains more data, but in HeLa cells"
"55";"DGCR8";"2847";"54487";"Human";"No";"Inhibits";"The impact of global disruption of miRNA biogenesis in primary fibroblasts was investigated through the knockdown of DGCR8, an essential mediator of the synthesis of canonical miRNAs. The inactivation of DGCR8 resulted in a dramatic antiproliferative response, with the acquisition of a senescent phenotype. Senescence triggered by DGCR8 loss was accompanied by the upregulation of the cell-cycle inhibitor p21.";"IMR-90 primary human diploid fibroblasts"
"56";"DHCR24";"2859";"1718";"Human";"No";"Induces";"RNA interference of Seladin-1 (DHCR24) in human fibroblasts caused cells to bypass Ras-induced senescence, continue to proliferate, exhibit a normal cell morphology, reduce SA-beta-galactosidase activity, and to possess a higher tumorigenic potential.";""
"57";"DLX2";"2915";"1746";"Human";"No";"Inhibits";"DLX2 expression led to increased cellular replicative lifespan in foreskin and lung fibroblasts. DLX2 expression reduced the protein components of the TTI1/TTI2/TEL2 complex, a key complex required for the proper folding and stabilization of ATM and other members of the PIKK (phosphatidylinositol 3-kinase-related kinase) kinase family.";"Human diploid BJ fibroblasts and IMR-90 fibroblasts"
"58";"DHX9";"2750";"1660";"Human";"No";"Inhibits";"Loss of DHX9 in primary human fibroblasts resulted in premature senescence. This was shown by changes in morphology, elevation of SA-beta-galactosidase levels and changes in gene expression closely resembling those encountered during replicative senescence. Activation of the p53 signalling pathway was found to be essential to this process. ChIP analysis and investigation of nascent DNA levels revealed that DHX9 suppression led to a reduction of DNA replication.";"cancer"
"59";"DPY30";"24590";"84661";"Human";"No";"Inhibits";"Following depletion of DPY30, cells showed a severe proliferation defect and displayed a senescent phenotype, including a flattened and enlarged morphology, elevated level of reactive oxygen species (ROS), increased SA-beta-galactosidase activity and formation of SA-heterochromatin foci.";"IMR-90 human fibroblasts"
"60";"DUSP3";"3069";"1845";"Human";"Yes";"Inhibits";"RNA interference of VHR (DUSP3) lead to cell arrest at the G1-S and G2-M transitions. Cells displayed signs of cellular senescence, such as flattening, spreading, appearance of autophagosomes, SA-beta-galactosidase staining and decreased telomerase activity, as well as upregulation of p21 and downregulation of genes for cell-cycle regulators, DNA replication, transcription and mRNA processing.";""
"61";"DUSP16";"17909";"80824";"Human";"Yes";"Inhibits";"DUSP16 knockdown led to a G1/S transition arrest, reduced incorporation of BrdU, enhanced SA-beta-galactosidase activity and formation of SA-heterochromatin foci.";"HepG2, PLC/PRF/5 and HEK293FT cells"
"62";"E2F1";"3113";"1869";"Human";"No";"Induces";"Constitutive expression of E2F1 in normal human fibroblasts arrested cell proliferation and induced a senescent phenotype, including flat morphology, increased SA-beta-galactosidase activity and increased expression of several markers of replicative senescence.";""
"63";"EHF";"3246";"26298";"Human";"No";"Induces";"Ectopic expression of ESE-3 (EHF) resulted in reduced growth, up-regulation of senescence associated p16 (but not p21) and increased SA-beta-galactosidase activity.";""
"64";"ENDOG";"3346";"2021";"Human";"No";"Inhibits";"Knockdown of ENDOG in both early passage and late passage cells induced premature senescence, displaying a significant delay in cell proliferation and an increase in SA-beta-galactosidase activity.";""
"65";"EPHA3";"3387";"2042";"Human";"Yes";"Inhibits";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including EPHA3) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"66";"ERRFI1";"18185";"54206";"Human";"No";"Induces";"The mechanism of Mig-6 (ERRFI1) induced premature cell senescence was investigated. Endogenous Mig-6 was poorly expressed in young fibroblasts, whilst its expression increased in cells presenting with typical features of senescence. Overexpression of Mig-6 was sufficient to trigger premature cellular senescence of early passage diploid lung fibroblasts (WI-38). Mig-6 overexpression reduced retinoblastoma protein (Rb1) phosphorylation at the inactivating Ser249/Thr252 sites.";"Diploid human lung fibroblasts (WI-38)"
"67";"ETS1";"3488";"2113";"Human";"No";"Induces";"Overexpression of ETS1 leads to an accelerated oncogene-induced senescence, with increased levels of p16 and increased SA-beta-galactosidase activity.";""
"68";"ETS2";"3489";"2114";"Human";"No";"Induces";"Overexpression of ETS2 leads to an accelerated oncogene-induced senescence, with increased levels of p16 and increased SA-beta-galactosidase activity.";""
"69";"EWSR1";"3508";"2130";"Human";"No";"Induces";"Deletion of EWS (EWSR1) resulted in the early onset of senescence in hematopoietic stem progenitor cells. This was also accompanied by an increase in SA-beta-galactosidase activity and an induction in p16 expression.";""
"70";"FASTK";"24676";"10922";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"71";"EZH2";"3527";"2146";"Human";"Yes";"Inhibits";"EZH2 depletion promoted senescence in human gastric cancer cells (SGC-7901). EZH2 depletion inhibited cell proliferation, caused cell cycle arrest, restored features of a cellular senescence phenotype and promoted doxorubicin-induced senescence.";"Human gastric cancer cells SGC-7901"
"72";"FBXO31";"16510";"79791";"Human";"Yes";"Induces";"Ectopic expression of FBXO31 in breast cancer cells (MCF-7) induced cellular senescence, as indicated by an increase in SA-beta-galactosidase activity and a large flattened cell morphology.";""
"73";"FOXM1";"3818";"2305";"Human";"Yes";"Inhibits";"SA-beta-galactosidase staining showed that down-regulation of FOXM1 could induce more senescent gallbladder cancer cells (P < 0.05).";"Human gallbladder carcinoma (GBC)-SD cells"
"74";"FOS";"3796";"2353";"Human";"No";"Inhibits";"Transient activation of c-fos (FOS) stimulated DNA synthesis in pre-senescent cells prolonging their proliferative lifespan.";"The results doesn't seem very strong"
"75";"FOXO3";"3821";"2309";"Human";"No";"Inhibits";"RNA interference of FOXO3 in human dermal fibroblasts induced a senescent phenotype, including enlarged and flattened cell morphology, increases in population doubling times, increased SA-beta-galactosidase activity, and up-regulation of p53/p21.";""
"76";"FXR1";"4023";"8087";"Human";"Yes";"Inhibits";"Silencing of FXR1 in oral cancer cells triggers cell senescence. These cells showed increased SA-beta-galactosidase activity. Overexpressed FXR1 was found to bind and stabilise p21 and additionally bind and stabilise TERC RNA (a component of telomerase), acting to suppress cell senescence.";""
"77";"G6PD";"4057";"2539";"Human";"No";"Inhibits";"Compared to normal cells, G6PD-deficient fibroblasts exhibited a slow-down in population doubling times, with a significant increase in the percentage of G(1) cells. The accelerated cellular senescence was confirmed by a significant increase in level of SA-beta-galactosidase activity.";"Changed ref from PMID: 14980702 (with a prior ref - same group)"
"78";"GAPDH";"4141";"2597";"Human";"Yes";"Inhibits";"Knockdown of GAPDH in lung cancer cells (A549) resulted in a senescence phenotype, including proliferation arrest, morphological changes, increased SA-beta-galactosidase activity, and greater than 2-fold up-regulation of senescence-associated genes DEC1 and GLB1.";"Human carcinoma cells A549"
"79";"GKN1";"23217";"56287";"Human";"Yes";"Induces";"GKN1 overexpression was shown to trigger senescence, followed by apoptosis via up-regulation of the p53, p21, p27, and p16 proteins and down-regulation Skp2. Telomere length in 35 gastric cancers was shortened significantly compared with the corresponding gastric mucosae. GKN1 expression was found to be inversely correlated with telomere length and c-myc and hTERT mRNA expression, these normally act to inhibit senescence.";"AGS and MKN1 cells"
"80";"GATA4";"4173";"2626";"Human";"No";"Induces";"Expression of GATA4 induced senescence in human diploid fibroblasts (BJ and IMR-90). These displayed increased SA-beta-galactosidase activity and decreased BrdU incorporation. Depletion of GATA4 partially decreased ionising radiation (IR) induced SA-beta-Gal activity and delayed replicative senescence. GATA4 acts through NF-kappaB to initiate the SASP dependant on activation by ATM and ATR and independent of p53 or p16 signalling.";""
"81";"GNG11";"4403";"2791";"Human";"No";"Induces";"Overexpression of GNG11 induced cellular senescence in normal human fibroblasts, with cells displaying enlarged, flattened morphology and increased SA-beta-galactosidase activity. In contrast, down-regulation by antisense cDNA extended cell lifespan.";""
"82";"GLB1";"4298";"2720";"Human";"No";"Inhibits";"GLB1, the gene encoding lysosomal beta-D-galactosidase, is responsible for the SA-beta-galactosidase activity in cellular senescence. RNA interference of GLB1 in late passage normal fibroblasts lead to senescence, however cells did not express an increase in SA-beta-galactosidase .";"Not exactly the regular experiment (more of a marker as far as I can tell), so not sure about inclusion. Not clear from paper if the KD has any other effect on CS (except the staining)"
"83";"GRK6";"4545";"2870";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"84";"HDAC4";"14063";"9759";"Human";"No";"Inhibits";"The expression patterns of HDAC4 and Sirtuin 1 (SIRT1; the mammalian homolog of Sir2) were positively correlated during cellular senescence. Moreover, overexpression of HDAC4 delayed senescence, whereas knockdown of HDAC4 led to premature senescence in human fibroblasts.";"Human embryonic lung diploid fibroblast cell line, 2BS"
"85";"HDAC1";"4852";"3065";"Human";"Yes";"Induces";"HDAC1 overexpression led to senescence through both an accumulation of hypophosphorylated active retinoblastoma protein (pRb) and an increase in the level of protein phosphatase 2A catalytic subunit.";"Human cervical adenocarcinoma HeLa cells"
"86";"HEPACAM";"26361";"220296";"Human";"Yes";"Induces";"In breast cancer cells (MCF-7), stable transfection of HEPACAM, which is frequently downregulated in carcinomas, inhibited colony formation and cell proliferation, and lead to an increased number of cells which are arrested in the G(2)/M phase, have an enlarged morphology and display increased beta-galactosidase activity.";""
"87";"HJURP";"25444";"55355";"Human";"No";"Inhibits";"The expression levels of HJURP decreased in human dermal fibroblasts and umbilical vein endothelial cells in replicative or premature senescence. Ectopic expression of HJURP in senescent cells partially overcame cell senescence. Conversely, downregulation of HJURP in young cells led to premature senescence.";"HDFs and HUVECs cells"
"88";"HIVEP1";"4920";"3096";"Human";"No";"Inhibits";"Knockdown of MBP-1 (HIVEP1) in human foreskin fibroblasts resulted in an induction of premature senescence, accumulation of cells in the G1 phase, flattened cell morphology and increased SA-beta-galactosidase activity.";""
"89";"HK3";"4925";"3101";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"90";"HMGB1";"4983";"3146";"Human";"Yes";"Inhibits";"HMGB1 known down in melanoma cells resulted in cell cycle arrest and senescence as shown by decreased BrdU incorporation and increased SA-beta-galactosidase activity. It was demonstrated that HMGB1 deficiency-induced inhibition of cell proliferation was mediated by p21, which was induced via a Sp1-dependent mechanism.";"The human malignant melanoma cell lines A375, G361, SK-MEL-28 and the p53_/_ H1299 human lung cancer cells"
