"ensembl","LFC_Oncogene","LFC_Replicative","LFC_DNAdamage","adj_p_Oncogene","adj_p_Replicative","adj_p_DNAdamage","sig_types","symbol","entrez","source","senescence_effect","organism"
"ENSG00000005486",1.41756990480285,-0.444015341231328,1.3739463760364,2.59570948395095e-05,0.160786471578836,4.46632560057943e-05,"Oncogene/DNA-damage","RHBDD2","57414","RNAseq","Unknown","Human"
"ENSG00000006062",-1.01131799284909,-0.291006019599847,-0.0901879366127666,0.000731874836311277,0.303874490165838,0.769325144640375,"Oncogene","MAP3K14","9020","Ageing atlas/InnateDB/RNAseq","Unknown","Human"
"ENSG00000006118",3.3995258650039,-1.81564480778876,2.38607812049971,7.3620308368958e-06,0.00633757654929498,0.000570506057047011,"Oncogene/Replicative/DNA-damage","TMEM132A","54972","RNAseq","Unknown","Human"
"ENSG00000006453",-1.3251337250465,0.39532811705827,0.529995741329128,5.93453798166591e-08,0.0492479452511075,0.00545046330753545,"Oncogene","BAIAP2L1","55971","RNAseq","Unknown","Human"
"ENSG00000006459",1.56943511785172,-0.718277139749843,0.871991613457009,6.48867191241356e-06,0.0171243803456843,0.00398161358199499,"Oncogene","KDM7A","80853","RNAseq","Unknown","Human"
"ENSG00000006468",1.04403521966019,-0.460465926899565,0.233643664720039,0.00305429220027692,0.188893144397495,0.520061795524104,"Oncogene","ETV1","2115","RNAseq","Unknown","Human"
"ENSG00000006576",-1.16231680031689,0.291156465995552,-0.428388869755914,1.41144383018083e-05,0.234921942494644,0.0732693137030722,"Oncogene","PHTF2","57157","RNAseq","Unknown","Human"
"ENSG00000007376",1.14070063577744,-0.529509620902911,0.547963855368463,0.000329687837152346,0.101425157168282,0.0618226161101305,"Oncogene","RPUSD1","113000","RNAseq","Unknown","Human"
"ENSG00000007384",1.59139192168474,-0.112810913427543,1.02755762617889,1.79832086525405e-07,0.684946475892915,8.94850196260145e-05,"Oncogene/DNA-damage","RHBDF1","64285","RNAseq","Unknown","Human"
"ENSG00000007541",1.10473555501437,-0.61556834227869,0.617712102785376,0.000246359270318235,0.0380629423626168,0.0259473975920823,"Oncogene","PIGQ","9091","RNAseq","Unknown","Human"
"ENSG00000007968",-4.00875829272023,-1.19173108450351,-2.20589830228572,5.21152831821719e-07,0.0446697324566237,0.000142496946808176,"Oncogene/Replicative/DNA-damage","E2F2","1870","CSgene/RNAseq","Unknown","Human"
"ENSG00000008083",1.43930202433491,-0.878871482425439,0.448628257883737,3.12546886274293e-06,0.00178049499515389,0.08620381797176,"Oncogene","JARID2","3720","RNAseq","Unknown","Human"
"ENSG00000008086",-1.34789846730683,0.294264106936941,-0.161904530774949,1.45734794596759e-06,0.223976046927209,0.521127175503424,"Oncogene","CDKL5","6792","RNAseq","Unknown","Human"
"ENSG00000008256",-1.25898803919758,0.0131527328014393,-0.37742485944726,1.4783921701798e-07,0.953385199448954,0.0377926396201849,"Oncogene","CYTH3","9265","RNAseq","Unknown","Human"
"ENSG00000008311",-1.30817696054812,-0.0935030624588144,-0.479770704743236,4.06470562250616e-06,0.726450320254252,0.046828148357808,"Oncogene","AASS","10157","RNAseq","Unknown","Human"
"ENSG00000008394",-1.75188890387226,2.41136059038374,-0.902031592164582,0.000568971192620254,1.72498741909976e-05,0.0574350958369754,"Oncogene/Replicative","MGST1","4257","RNAseq","Unknown","Human"
"ENSG00000008441",-1.1475984853308,-0.205310944123674,-0.440892626676472,3.34954890601347e-08,0.313714227710324,0.00487408534438156,"Oncogene","NFIX","4784","RNAseq","Unknown","Human"
"ENSG00000008710",1.18006708147777,-1.29266437212754,0.890065561492541,0.00102504932470729,0.000920617685467668,0.0103134145554036,"Oncogene/Replicative","PKD1","5310","RNAseq","Unknown","Human"
"ENSG00000009413",-1.00653606917958,0.190934326247201,0.0898384639935961,1.39156891261923e-05,0.344127774302603,0.693626868370088,"Oncogene","REV3L","5980","RNAseq","Unknown","Human"
"ENSG00000010219",-1.27378582781794,0.891606090734906,-0.880580638679508,4.16504183481561e-05,0.0023386745000166,0.00229124665379905,"Oncogene","DYRK4","8798","RNAseq","Unknown","Human"
"ENSG00000010278",1.14182215517322,0.390952172283919,0.466503076805768,1.40248709412013e-05,0.0981048049246508,0.039937675047327,"Oncogene","CD9","928","Ageing atlas/RNAseq","Unknown","Human"
"ENSG00000010292",-1.42199598649115,-0.957040319650452,-1.27060338445883,4.37892643845458e-08,4.17413827595006e-05,3.7760523578925e-07,"Oncogene/DNA-damage","NCAPD2","9918","RNAseq","Unknown","Human"
"ENSG00000010404",1.28218630015252,0.496366199266061,0.883403145910672,1.87486869759952e-07,0.0185432253645106,6.02920231408599e-05,"Oncogene","IDS","3423","RNAseq","Unknown","Human"
"ENSG00000010438",4.10139235305224,0.661158871812318,0.23412773242528,3.47703468876567e-05,0.43611077801946,0.792313768495419,"Oncogene","PRSS3","5646","RNAseq","Unknown","Human"
"ENSG00000010704",-1.48407815089498,0.642919921364541,-0.652803420917619,2.17413062717834e-06,0.0151535262330973,0.0128738107369821,"Oncogene","HFE","3077","RNAseq","Unknown","Human"
"ENSG00000011009",1.20695208865181,-0.206763007013273,0.422045701933363,2.54409137531103e-08,0.253999961309192,0.00967321232169973,"Oncogene","LYPLA2","11313","RNAseq","Unknown","Human"
"ENSG00000011028",1.26120580485091,-1.10144701328847,0.849001437550349,0.000519377432063942,0.00360734896004351,0.014302113799068,"Oncogene/Replicative","MRC2","9902","RNAseq","Unknown","Human"
"ENSG00000011422",1.47028896958192,-0.592205049121114,0.34544268219188,9.02919278989643e-07,0.0192024418587239,0.155021842720144,"Oncogene","PLAUR","5329","Ageing atlas/CSgene/InnateDB/RNAseq","Unknown","Human"
"ENSG00000011426",-4.79293874302007,-0.150828204479679,-3.02861346069908,1.81799796959526e-10,0.771285977180321,5.5574184276881e-07,"Oncogene/DNA-damage","ANLN","54443","RNAseq","Unknown","Human"
"ENSG00000011465",-3.67832690217023,1.34880698679871,-0.572748341132436,6.66481297614927e-07,0.0179751557429694,0.32132174962592,"Oncogene/Replicative","DCN","1634","InnateDB/RNAseq","Unknown","Human"
"ENSG00000012048",-2.20593565797631,-0.304580290463496,-1.64873216439979,1.05871926798007e-08,0.292908561165273,1.83441560678782e-06,"Oncogene/DNA-damage","BRCA1","672","CellAge/Ageing atlas/CSgene/RNAseq","Inhibits","Human"
"ENSG00000012061",1.27616464210523,-0.411834149182987,0.0274081175509982,2.85486250159814e-08,0.0197069433548468,0.890889160994762,"Oncogene","ERCC1","2067","Ageing atlas/RNAseq","Unknown","Human"
"ENSG00000012171",-1.44281765634819,-0.237470946594879,0.556099408515112,1.09941099857403e-05,0.451450072315255,0.0509212829753848,"Oncogene","SEMA3B","7869","RNAseq","Unknown","Human"
"ENSG00000013293",-3.83654535874148,-1.29546128496967,0.214262115170208,3.5551912054638e-05,0.0654240788832186,0.784483236608959,"Oncogene","SLC7A14","57709","RNAseq","Unknown","Human"
"ENSG00000013297",-3.21811240680999,-0.674854967828272,-2.38390930782541,7.92779726926146e-07,0.187458460304561,4.79273072949379e-05,"Oncogene/DNA-damage","CLDN11","5010","RNAseq","Unknown","Human"
"ENSG00000013523",1.05035178397493,0.030878196055439,0.417148558425727,1.27861544991801e-06,0.89168266575572,0.0213516680232637,"Oncogene","ANGEL1","23357","RNAseq","Unknown","Human"
"ENSG00000013588",-4.53243701815583,2.61965730670508,0.662337223610694,5.76231835832103e-08,0.000161877306415178,0.298998646637618,"Oncogene/Replicative","GPRC5A","9052","RNAseq","Unknown","Human"
"ENSG00000013810",-1.8369946859349,-1.58228054542851,-1.57234962389738,8.71501864155053e-07,1.2648066485079e-05,1.21382103586044e-05,"Oncogene/Replicative/DNA-damage","TACC3","10460","CellAge/RNAseq","Inhibits","Human"
"ENSG00000014257",2.97701524203321,1.38200959619678,2.17439471696039,0.000197819900806111,0.0726728717779881,0.00305224111641845,"Oncogene/DNA-damage","ACP3","55","RNAseq","Unknown","Human"
"ENSG00000019144",1.0599626590198,-0.485423281338242,0.201775281046178,2.06114389269126e-05,0.0305802990336651,0.366304896357733,"Oncogene","PHLDB1","23187","RNAseq","Unknown","Human"
"ENSG00000020129",1.13215195273031,0.205742253066347,0.421367619376958,6.14028421171828e-09,0.1739283832243,0.00257318808294066,"Oncogene","NCDN","23154","RNAseq","Unknown","Human"
"ENSG00000020181",-1.33795637736195,0.173164923114604,-0.932945001667371,4.93915888205819e-06,0.519216097955434,0.000563252912686755,"Oncogene","ADGRA2","25960","RNAseq","Unknown","Human"
"ENSG00000020922",-1.19722016453513,0.143403429441792,-0.616691138185024,4.88419476618213e-08,0.413654935273309,0.000562842596416841,"Oncogene","MRE11A","4361","CSgene/RNAseq","Unknown","Human"
"ENSG00000021826",-2.76367292356762,-0.743041382427231,-1.5146139976976,1.70777127585058e-05,0.18189217162075,0.00756091278904071,"Oncogene/DNA-damage","CPS1","1373","RNAseq","Unknown","Human"
"ENSG00000023171",-1.29130728775872,0.597339151490428,0.0758028267250357,5.6983907523733e-05,0.0400191847958219,0.817022324229408,"Oncogene","GRAMD1B","57476","RNAseq","Unknown","Human"
"ENSG00000023697",-1.85397421989436,0.518540573284843,-0.939623744169095,1.19045483878046e-07,0.0538972383974531,0.000973031971588815,"Oncogene","DERA","51071","RNAseq","Unknown","Human"
"ENSG00000023909",-1.00773901498053,0.676716393721597,-0.0290027702553967,3.78930882718619e-05,0.00325307003307102,0.914439415224148,"Oncogene","GCLM","2730","Ageing atlas/RNAseq","Unknown","Human"
"ENSG00000024526",-4.5383923748608,0.334303365254885,-3.37648667150846,9.66756711997428e-09,0.579354673297642,2.17678046303463e-06,"Oncogene/DNA-damage","DEPDC1","55635","RNAseq","Unknown","Human"
"ENSG00000025423",-3.50350462537296,0.59290552279629,-0.859076930747187,3.40606589359591e-07,0.248790752869041,0.0975650836744415,"Oncogene","HSD17B6","8630","RNAseq","Unknown","Human"
"ENSG00000025772",1.27128403543777,-0.405557787998609,0.443742521913332,6.48285070684326e-07,0.0637245844857698,0.0331915629929855,"Oncogene","TOMM34","10953","RNAseq","Unknown","Human"
"ENSG00000026559",2.30095481956534,-1.35424906563889,1.36814408091795,1.34389625547157e-05,0.00616426523050316,0.00363715666998125,"Oncogene/Replicative/DNA-damage","KCNG1","3755","RNAseq","Unknown","Human"
"ENSG00000028137",1.79193876154267,-1.72127450332557,0.20632904994329,0.0013528667280226,0.00214334229563073,0.722348236942208,"Oncogene/Replicative","TNFRSF1B","7133","Ageing atlas/InnateDB/RNAseq","Unknown","Human"
"ENSG00000028277",2.80393728823776,0.850294437012171,1.46195006464347,6.05033089872295e-07,0.0936481451298358,0.00151822294914098,"Oncogene/DNA-damage","POU2F2","5452","RNAseq","Unknown","Human"
"ENSG00000029534",-1.13747863328206,1.41667051109983,0.402558015186276,0.00222802598712854,0.000381516118134459,0.270560594480825,"Oncogene/Replicative","ANK1","286","RNAseq","Unknown","Human"
"ENSG00000029993",-2.14070901778037,-0.13972291264368,-1.56807300178531,1.66003586097891e-08,0.643960311264049,2.81158673293186e-06,"Oncogene/DNA-damage","HMGB3","3149","InnateDB/RNAseq","Unknown","Human"
"ENSG00000030419",-1.38098711184813,1.23695789477409,0.253629086566814,3.08986049855003e-05,0.000138571123240504,0.399010004959434,"Oncogene/Replicative","IKZF2","22807","RNAseq","Unknown","Human"
"ENSG00000031691",-2.86786881080389,0.487996247403204,-1.23863752307259,9.99978248561876e-09,0.177913670612532,0.00176652580051974,"Oncogene/DNA-damage","CENPQ","55166","RNAseq","Unknown","Human"
"ENSG00000032444",1.3726941242466,-1.28141610774211,0.981404601258548,0.000354434400779014,0.00156565934995676,0.0072776306181746,"Oncogene/Replicative","PNPLA6","10908","RNAseq","Unknown","Human"
"ENSG00000033100",1.10114562352691,-0.266979822360884,0.85924915266344,3.69115427267139e-06,0.228546934662756,0.000117478566021178,"Oncogene","CHPF2","54480","RNAseq","Unknown","Human"
"ENSG00000034510",-1.9138422286691,1.12091365046487,-1.35002750947618,2.0839854044888e-05,0.00615859406564568,0.0012323738360799,"Oncogene/Replicative/DNA-damage","TMSB10","9168","RNAseq","Unknown","Human"
"ENSG00000035403",-1.23443118982072,0.694681489519455,-0.690450798007723,1.78586644775529e-06,0.00235237607569065,0.00219884411940798,"Oncogene","VCL","7414","RNAseq","Unknown","Human"
"ENSG00000035499",-3.71563242846088,-1.01470836898637,-2.83907712497235,3.27878179853497e-10,0.00730067598888037,6.53510501497815e-08,"Oncogene/Replicative/DNA-damage","DEPDC1B","55789","RNAseq","Unknown","Human"
"ENSG00000039139",-1.6108158683898,1.04194970653011,0.203763387249802,1.12969155600452e-05,0.00164066772651165,0.537918043024703,"Oncogene/Replicative","DNAH5","1767","RNAseq","Unknown","Human"
"ENSG00000040341",-1.1145381568928,0.844304908215238,-0.301392371297856,9.41128517581492e-06,0.00037438917623808,0.168192222992966,"Oncogene","STAU2","27067","RNAseq","Unknown","Human"
"ENSG00000040487",1.52671734735046,-0.520575210278369,0.744112782965721,8.6386780676248e-06,0.082007568223684,0.0118619449579591,"Oncogene","SLC66A1","54896","RNAseq","Unknown","Human"
"ENSG00000041353",2.23755332307084,0.426947969084676,1.25284126489316,0.000514910824535626,0.501341069203617,0.0351007408356893,"Oncogene/DNA-damage","RAB27B","5874","RNAseq","Unknown","Human"
"ENSG00000042062",1.90039472147817,-0.492105548433564,1.53517480283865,0.00579372987895496,0.482049911853529,0.0230490108840644,"Oncogene/DNA-damage","RIPOR3","140876","RNAseq","Unknown","Human"
"ENSG00000042317",-1.03677227583557,0.650756548873029,-0.127620434521826,2.56826061745493e-05,0.00335077951256195,0.584651745604872,"Oncogene","SPATA7","55812","RNAseq","Unknown","Human"
"ENSG00000044459",-1.45836601001575,-0.307739138257583,-0.828955376247168,5.70220250543623e-09,0.0864916524493442,6.02920231408599e-05,"Oncogene","CNTLN","54875","RNAseq","Unknown","Human"
"ENSG00000046604",-1.73546578785736,-0.0740427743473572,-0.466973971256217,0.00132530703052553,0.899553781181826,0.334915324136308,"Oncogene","DSG2","1829","RNAseq","Unknown","Human"
"ENSG00000047230",-1.07507777241566,0.411582700151859,-0.631639273520932,4.77325138984326e-07,0.0190913119556448,0.000534511047079959,"Oncogene","CTPS2","56474","RNAseq","Unknown","Human"
"ENSG00000047648",1.45158792333682,0.329132956085992,1.00910916415927,0.000247804922166799,0.403235290336531,0.0063662549232082,"Oncogene/DNA-damage","ARHGAP6","395","RNAseq","Unknown","Human"
"ENSG00000048392",1.14657906210785,0.878578152089379,1.36369088892418,4.33634499090882e-06,0.000192728192810613,9.46229437400779e-07,"Oncogene/DNA-damage","RRM2B","50484","RNAseq","Unknown","Human"
"ENSG00000048740",-1.81836682083276,2.01400311676825,-0.639423119223599,0.00125661428899659,0.000499072112416305,0.248643874349841,"Oncogene/Replicative","CELF2","10659","RNAseq","Unknown","Human"
"ENSG00000049192",-1.25480291674194,-0.146599339433594,-0.527812628085594,0.000143766435236412,0.658912477064074,0.0862128255770941,"Oncogene","ADAMTS6","11174","RNAseq","Unknown","Human"
"ENSG00000049239",1.20173161046174,-0.462557704900518,0.243466760891594,1.27793400291332e-05,0.0571310425477532,0.321354253524881,"Oncogene","H6PD","9563","RNAseq","Unknown","Human"
"ENSG00000049246",-2.19193787822958,0.0609939411312463,-1.19194740102235,1.32827994863794e-08,0.855000960596482,0.000123052463717448,"Oncogene/DNA-damage","PER3","8863","RNAseq","Unknown","Human"
"ENSG00000049247",-1.77852648517926,-0.652376534144109,-0.742625734131414,8.82806117629051e-05,0.195612602364341,0.0358882172248965,"Oncogene","UTS2","10911","RNAseq","Unknown","Human"
"ENSG00000049540",-1.39441949095545,-3.10449632638703,-1.2093238605499,0.0473859052164209,0.00015570552043788,0.09559726663584,"Oncogene/Replicative","ELN","2006","Ageing atlas/CSgene/RNAseq","Unknown","Human"
"ENSG00000049759",-1.49270797040432,1.25220822667454,0.0445594329655559,0.000115603016326832,0.00102390582963681,0.915322855811981,"Oncogene/Replicative","NEDD4L","23327","RNAseq","Unknown","Human"
"ENSG00000050165",-1.23890808092197,1.64398238972704,-0.300254275052529,0.000290839414732954,1.00284301916832e-05,0.360539503215004,"Oncogene/Replicative","DKK3","27122","RNAseq","Unknown","Human"
"ENSG00000050405",-1.79245736459437,1.10517602535762,-0.5174823856915,1.77009213975907e-05,0.00354278796187757,0.156863144931193,"Oncogene/Replicative","LIMA1","51474","CellAge/RNAseq","Inhibits","Human"
"ENSG00000050820",1.00255851037048,-1.24893597628047,0.69715845231553,0.00438074962864778,0.00120303555304392,0.043429492685435,"Oncogene/Replicative","BCAR1","9564","InnateDB/RNAseq","Unknown","Human"
"ENSG00000051128",1.28230309078399,-1.14860473213797,0.63837040167447,0.000145245476068216,0.000851270450422819,0.0400056667097993,"Oncogene/Replicative","HOMER3","9454","RNAseq","Unknown","Human"
"ENSG00000051180",-2.28765358700214,-0.848527463470318,-1.71336883680415,1.25104104417642e-08,0.00430028724007547,1.41561091537396e-06,"Oncogene/DNA-damage","RAD51","5888","Ageing atlas/RNAseq","Unknown","Human"
"ENSG00000051341",-4.04402081202818,-0.290929546666274,-2.51680139136954,7.61726000170282e-10,0.523042021889525,2.71777161559842e-06,"Oncogene/DNA-damage","POLQ","10721","RNAseq","Unknown","Human"
"ENSG00000051523",1.8169675682652,-1.15561805634954,1.59068524839014,8.03521122789502e-05,0.0106772687961254,0.00046608680321945,"Oncogene/Replicative/DNA-damage","CYBA","1535","InnateDB/RNAseq","Unknown","Human"
"ENSG00000051825",-1.15142756719016,-0.17113072325103,-0.801195710916112,9.02757838111979e-07,0.379875486031227,0.000159886068560561,"Oncogene","MPHOSPH9","10198","RNAseq","Unknown","Human"
"ENSG00000053254",-1.0431504769489,0.111961031817647,-0.350536408638922,1.31823099886327e-07,0.538957428554561,0.0277048304079744,"Oncogene","FOXN3","1112","RNAseq","Unknown","Human"
"ENSG00000053524",1.53100004471592,0.0220858880391925,0.669039606796236,0.0381843602679141,0.979418343755934,0.337662093225058,"Oncogene","MCF2L2","23101","RNAseq","Unknown","Human"
"ENSG00000054277",-1.54743748012781,1.07327636818876,-0.293309777396104,5.90219596425437e-08,2.0977422707986e-05,0.184868786767214,"Oncogene/Replicative","OPN3","23596","RNAseq","Unknown","Human"
"ENSG00000054356",1.94677248216963,-2.26388974492132,2.62446516790893,0.00848630335516058,0.00340490424340421,0.000861511984094759,"Oncogene/Replicative/DNA-damage","PTPRN","5798","RNAseq","Unknown","Human"
"ENSG00000054654",-2.36483033096484,-0.799090794232995,-0.814489727960618,5.03709123816141e-08,0.0149008010873059,0.0147964551601544,"Oncogene","SYNE2","23224","RNAseq","Unknown","Human"
"ENSG00000054967",1.06722672475662,-0.733178885054563,0.770524481968825,5.19769339246046e-05,0.00614628749331937,0.00229671513237775,"Oncogene","RELT","84957","RNAseq","Unknown","Human"
"ENSG00000055163",1.48350986163933,0.468421058222528,1.24715438376252,7.52870716317614e-07,0.0703708000816713,1.54771175934695e-05,"Oncogene/DNA-damage","CYFIP2","26999","RNAseq","Unknown","Human"
"ENSG00000056050",-1.57591486887504,0.205317887116793,-0.679871682968545,3.21613100129546e-09,0.274976595742101,0.000779555987290322,"Oncogene","HPF1","54969","RNAseq","Unknown","Human"
"ENSG00000056558",1.52824324430079,-0.212754909558661,1.00507078957524,0.00180772927303512,0.681782416931297,0.0324679474317699,"Oncogene/DNA-damage","TRAF1","7185","Ageing atlas/InnateDB/RNAseq","Unknown","Human"
"ENSG00000056998",-1.42431030393167,0.620868469472854,-0.784104732743012,4.75691857710767e-07,0.00959382033755192,0.0017077748092783,"Oncogene","GYG2","8908","RNAseq","Unknown","Human"
"ENSG00000057019",1.12952747547173,1.07868041829539,0.252675252888883,5.13106952590819e-07,2.16681031786025e-06,0.190415248902735,"Oncogene/Replicative","DCBLD2","131566","RNAseq","Unknown","Human"
"ENSG00000057657",2.62292736005664,-0.567362546756985,1.47713933423028,1.01236831153282e-07,0.143575822291943,0.000290453184861916,"Oncogene/DNA-damage","PRDM1","639","RNAseq","Unknown","Human"
"ENSG00000058056",-1.25319456990658,-0.105465823919896,-1.21269036625926,2.43953259302409e-08,0.587176715117012,8.58197080506969e-08,"Oncogene/DNA-damage","USP13","8975","RNAseq","Unknown","Human"
"ENSG00000058668",-1.08238964695553,0.919170998869735,-0.455137729061977,8.75332006706734e-06,0.000232995912048466,0.0330911357483133,"Oncogene","ATP2B4","493","RNAseq","Unknown","Human"
"ENSG00000058804",-1.6559875200082,0.0397269901126255,-1.40013921265911,5.04121828008633e-08,0.885354360120942,1.43493868347594e-06,"Oncogene/DNA-damage","NDC1","55706","RNAseq","Unknown","Human"
"ENSG00000059122",1.42658809592409,-0.167643460465341,1.12202038288864,2.05176507860201e-07,0.504714280088434,9.20940118353464e-06,"Oncogene/DNA-damage","FLYWCH1","84256","RNAseq","Unknown","Human"
"ENSG00000059758",1.10387849246051,-0.221874931871853,0.236257845473488,1.3236272609154e-07,0.194921442677037,0.169151818523061,"Oncogene","CDK17","5128","RNAseq","Unknown","Human"
"ENSG00000059915",1.54483787320804,0.629420863193657,0.669795992622152,0.00013416752664965,0.176086198834409,0.0598565927442703,"Oncogene","PSD","5662","RNAseq","Unknown","Human"
"ENSG00000060491",1.48083546887752,-1.01503406637498,0.938748572827667,0.000132553979274749,0.0086721722167437,0.0089963441732646,"Oncogene/Replicative","OGFR","11054","RNAseq","Unknown","Human"
"ENSG00000060656",2.92415556770595,-1.32264987694329,1.30646403792423,5.56229495096368e-06,0.016009944631759,0.0155595389010092,"Oncogene/Replicative/DNA-damage","PTPRU","10076","RNAseq","Unknown","Human"
"ENSG00000060718",-1.29854691491785,-0.627083435501644,-0.503011058270547,0.0222089021706527,0.270610436093639,0.374201085523355,"Oncogene","COL11A1","1301","RNAseq","Unknown","Human"
"ENSG00000060982",-1.42365324718755,0.482595709217106,-0.789700001565319,7.55168261597839e-06,0.0754668450438499,0.0051928167061993,"Oncogene","BCAT1","586","RNAseq","Unknown","Human"
"ENSG00000061337",-2.79948992462981,-0.631238921855229,-1.25109231249426,6.25276974706697e-06,0.211232056437643,0.0104682498847237,"Oncogene/DNA-damage","LZTS1","11178","RNAseq","Unknown","Human"
"ENSG00000062282",4.29921157491334,0.599263551576566,1.87505617337805,2.75050207974384e-07,0.317444438399957,0.00237431663588306,"Oncogene/DNA-damage","DGAT2","84649","RNAseq","Unknown","Human"
"ENSG00000063245",1.09675248598688,-1.20005190153298,0.566626987600887,0.000754780350353894,0.000586064738309835,0.0671867735377373,"Oncogene/Replicative","EPN1","29924","RNAseq","Unknown","Human"
"ENSG00000064225",1.13768807075239,1.29028330700358,-0.02447580913185,1.63731030675663e-06,2.32073599524374e-07,0.91504948045594,"Oncogene/Replicative","ST3GAL6","10402","RNAseq","Unknown","Human"
"ENSG00000064666",-1.36745865148931,-0.0289671842437246,-0.996418543532992,6.02696607381336e-06,0.928126781342153,0.000353785842689759,"Oncogene","CNN2","1265","RNAseq","Unknown","Human"
"ENSG00000064692",-1.56217125178849,-0.544935275757923,-1.32347321606387,0.00107479279590246,0.231838055902626,0.00499000013715498,"Oncogene/DNA-damage","SNCAIP","9627","RNAseq","Unknown","Human"
"ENSG00000064763",-1.057200399672,0.894545803780718,-0.199126061931941,2.32935056686339e-05,0.000211663407063864,0.407128161765407,"Oncogene","FAR2","55711","RNAseq","Unknown","Human"
"ENSG00000064932",1.2584178976432,-1.18576489903527,0.658969530098738,0.000142755528206506,0.00072694610542399,0.0291659698352521,"Oncogene/Replicative","SBNO2","22904","RNAseq","Unknown","Human"
"ENSG00000065308",-1.28571373822499,0.642559519624126,-1.18078779859756,1.20718223776744e-05,0.0159390350276876,4.30624280608577e-05,"Oncogene/DNA-damage","TRAM2","9697","RNAseq","Unknown","Human"
"ENSG00000065328",-3.83346260184438,-1.06039019662541,-2.89182800257824,1.54394628818089e-09,0.0157392733828226,2.39086576208951e-07,"Oncogene/Replicative/DNA-damage","MCM10","55388","RNAseq","Unknown","Human"
"ENSG00000065534",-1.27653437579633,1.04413680031654,-0.920591172545786,0.000167162219685388,0.00140687844109903,0.00412797804997952,"Oncogene/Replicative","MYLK","4638","CellAge/Ageing atlas/RNAseq","Inhibits","Human"
"ENSG00000065911",-1.05412549714288,-0.0662258537314298,-0.638387115140164,0.000498284320896439,0.841371322229842,0.026355260690566,"Oncogene","MTHFD2","10797","RNAseq","Unknown","Human"
"ENSG00000066279",-4.97867561866334,-0.75232256140232,-2.99337743964239,1.96005130007938e-10,0.113094379232095,1.73600151788332e-06,"Oncogene/DNA-damage","ASPM","259266","RNAseq","Unknown","Human"
"ENSG00000066557",-1.71321155727018,0.614952949742723,-0.507987075741708,7.25366565271292e-07,0.0248134931971258,0.0780462990589438,"Oncogene","LRRC40","55631","RNAseq","Unknown","Human"
