InnateDB Gene ID	Gene Symbol	Species	PubMED ID	Annotation
229341	DDX3X	9606	20127681	"DDX3X is an antiviral MAVS (IPS-1) enhancer, where it can bind viral RNA to join it in the MAVS complex and this augments virus-mediated IFN-beta induction and host cell protection against virus infection."
229341	DDX3X	9606	20657822	"DDX3X RNA helicase can augment TBK1/IKKepsilon activity and hepatitis B virus (HBV) polymerase (HBV Pol) inhibits this TBK1/IKBKE activity by disrupting the interaction between IKBKE and DDX3X, providing an explanation for how HBV evades innate immune response in the early phase of the infection."
229341	DDX3X	9606	25740981	"DDX3X initiates a multifaceted cellular program involving dynamic associations with hepatitis C virus (HCV) RNA and proteins, CHUK, stress granules, and lipid droplet surfaces for its crucial role in the HCV life cycle."
229341	DDX3X	9606	26454002	DDX3X participates in antiviral innate immunity by controlling translation of PRKRA.
55854	DDX58	9606	15208624	DDX58 (RIG-I) is a cytoplasmic RNA helicase that functions as an intracellular sensor of dsRNA leading to the induction of Interferon (IFN) production independently of TLR signalling.
55854	DDX58	9606	18948594	"DDX58 (RIG-I) first and second caspase recruitment domains (CARDs)  have distinct roles in TRIM25-mediated RIG-I ubiquitination, which leads to initiation of an antiviral signalling cascade."
55854	DDX58	9606	19074283	DDX58 serves as a critical link between TLR3 and type-II-IFN signalling pathways in innate antiviral immune responses.
55854	DDX58	9606	19683681	"DDX58 plays an essential role in Toll-like receptor (TLR)-stimulated phagocytosis, demonstrating that DDX58 plays a role not only in antiviral responses but in antibacterial responses as well."
55854	DDX58	9606	18523264	"DDX58 plays a key role in the expression of TNF-alpha in macrophages in response to LPS stimulation, mainly for the late phase LPS-induced expression of TNF-alpha."
55854	DDX58	9606	19915568	DDX58 is a sensor able to activate the inflammasome in response to certain RNA viruses by binding to the adaptor PYCARD to trigger the caspase-1 (CASP1)-dependent inflammasome activation and IL-1-beta production. 
55854	DDX58	9606	20403326	"DDX58 binds specifically to K63-polyubiquitin chains through its tandem caspase recruitment domains (CARDs) that act as a ubiquitin sensor in a manner that depends on RNA and ATP, demonstrate that un-anchored K63-polyubiquitin chains are signalling molecules in antiviral innate immunity. "
55854	DDX58	9606	20406818	DDX58 (RIG-I) phosphorylation on serine 8 operates as a negative switch of RIG-I activation by suppressing TRIM25 interaction.
55854	DDX58	9606	20511549	DDX58 innate immune response to viral infection of human cells is modified by a functional polymorphism in the RIG-I caspase recruitment domain (CARD).
55854	DDX58	9606	19936053	DDX58 (RIG-I) is responsible for the cytosolic recognition of Legionella pneumophila RNA and the subsequent induction of type I IFN response. (Demonstrated in murine model)
55854	DDX58	9606	21690088	"DDX58 and NOD2 colocalize to cellular ruffles and cell-cell junctions to form a protein complex via the CARD domains. DDX58 negatively regulates ligand-induced NFkB signalling mediated by NOD2, and conversely, NOD2 negatively regulates type I interferon induction by DDX58."
55854	DDX58	9606	21695051	"DDX58, through the TRAIL pathway, initiates apoptosis in hepatocytes infected with hepatitis C Virus to suppress viral replication. HCV envelope proteins counteract the antiviral host defence by inhibiting the expression of DDX58."
55854	DDX58	9606	22072774	"DDX58 (RIG-I) ubiquitination is inhibited by arterivirus and nairovirus deubiquitinating enzymes (DUBs), resulting in the inhibition of RIG-I-like receptor (RLR)-mediated innate immune signalling. (Demonstrated in mice)"
55854	DDX58	9606	22912779	Antiviral stress granules containing DDX58 (RIG-I) and EIF2AK2 (PKR) have a critical role in viral detection and innate immunity. (Demonstrated in mouse)
55854	DDX58	9606	23744645	DDX58 (RIG-I) stimulation with a synthetic ligand inhibits HIV replication in macrophages.
55854	DDX58	9606	23950712	"RNF135 is essential for the association of DDX58 (RIG-I) and TRIM25, resulting in the activation of RIG-I signalling."
55854	DDX58	9606	24448099	"ISG15 does not directly alter human rhinovirus replication but modulates immune signalling via the viral sensor protein DDX58 to impact production of CXCL10, which has been linked to innate immunity to viruses."
55854	DDX58	9606	24448099	"Human rhinovirus infection of epithelial cells induces the expression and secretion of ISG15, which modulates immune responses via effects on DDX58, and by regulating CXCL10 production."
55854	DDX58	9606	24550253	The antisense L region of encephalomyocarditis virus associates with DDX58 and is a key determinant of IFIH1 stimulation of infected cells.
55854	DDX58	9606	25002588	IFI16 transcriptionally regulates type I interferons and DDX58 (RIG-I) and controls the interferon response to both DNA and RNA viruses.
55854	DDX58	9606	25520509	"Paramyxoviruses trigger the DNA-damage response, a pathway required for RPS6KA5 activation of phospho Ser 276 RELA formation to trigger the IRF7-DDX58 amplification loop necessary for mucosal interferon production. "
55854	DDX58	9606	25557055	DDX58 dually functions as an hepatitis B virus sensor activating innate signalling and as a direct antiviral factor by counteracting the viral polymerase in hepatocytes.
55854	DDX58	9606	26074083	"DDX58 is the primary pattern recognition receptor (PRR) for influenza A virus (IAV), but IFIH1 is a significant contributor to the cellular defense against IAV."
55854	DDX58	9606	25880109	Signalling through both DDX58 and TLR3 is important for interferon induction by influenza A virus in alveolar epithelial cells. 
55854	DDX58	9606	27210312	Hepatitis B virus-induced MIR146A attenuates cell-intrinsic anti-viral innate immunity through targeting DDX58 and IFIT3.
55854	DDX58	9606	26645583	"MIR485 exhibits bispecificity, targeting DDX58 in cells with a low abundance of H5N1 virus and viral PB1 in cells with increased amounts of the H5N1 virus.
"
55854	DDX58	9606	26608320	A defective interfering RNA isolated from the Hu-191 vaccine strain of measles virus is sensed by PRKRA and DDX58 to initiate an innate antiviral response.
55854	DDX58	9606	26371557	ATP binding is required for DDX58 signalling on viral RNA. ATP hydrolysis provides an important function by recycling DDX58 and promoting its dissociation from non-pathogenic RNA.
55854	DDX58	9606	26378160	Influenza B virus induces IRF3 activation and IL29 (IFNL1) gene expression without a requirement for viral protein synthesis or replication and DDX58 is the critical pattern recognition receptor needed for IRF3 activation.
55854	DDX58	9606	25878102	"EFTUD2 is a novel innate immune antiviral regulator that restricts hepatitis C virus infection through a DDX58/IFIH1-mediated, JAK-STAT-independent pathway."
55854	DDX58	9606	26450567	MIR136 exhibits potent antiviral activity against H5N1 influenza A virus and acts as an immune agonist of DDX58.
126353	MIR136	9606	26450567	"MIR136 exhibits potent antiviral activity against H5N1 influenza A virus and acts as an immune agonist of DDX58.

"
223927	Mir146	10090	22545247	Mir146 directly targets Relb to modulate the amplitude of monocyte responses to inflammatory challenges.
223927	Mir146	10090	22593544	Mir146 is a mechanosensitive miRNA that modulates mechanotransduction and pressure-induced inflammation in small airway epithelium. (Demonstrated in human)
223927	Mir146	10090	24092752	Nod2 driven inflammation is regulated by nitric oxide responsive Mir146 that facilitates activation of sonic hedgehog (SHH) signalling by targeting Numb expression.
223927	Mir146	10090	25024218	"T-cell-intrinsic Mir155 is required for type-2 immunity, in part through regulation of S1pr1, whereas T-cell-intrinsic Mir146 is required to prevent overt Th1/Th17 skewing. "
223927	Mir146	10090	26048146	"Mir146 attenuates sepsis-induced cardiac dysfunction by preventing NFκB activation, inflammatory cell infiltration, and inflammatory cytokine production via targeting of Irak1 and Traf6 in both cardiomyocytes and inflammatory monocytic cells."
223927	Mir146	10090	26456940	"Mir146 has a role in constraining intestinal barrier function, a process that alters gut homeostasis and increases susceptibility to dextran sodium sulphate-induced colitis."
179050	Nod2	10090	18981137	"Nod2-deficient mice have impaired resistance to Mycobacterium tuberculosis infection through defective innate and adaptive immunity.
"
179050	Nod2	10090	20679225	"Nod2 functions in non-hematopoietic cells of the small intestinal crypts and this is critical for protecting mice from a Th1-driven granulomatous inflammation in the ilum.
"
179050	Nod2	10090	20685341	"Nod2 and Nod1 account for neutrophil recruitment to the lungs of mice infected with Legionella pneumophila.
"
179050	Nod2	10090	17705131	"Nod2 and Nod1 activation results in substantial secretion of Ccl5 by murine macrophages and induces binding of NF-kappaB  subunits to Ccl5 promoter.
"
179050	Nod2	10090	21072876	Nod2 and Nod1 can detect Legionella pneumophila and these receptors modulate the in vivo pulmonary immune response differently.
179050	Nod2	10090	21199260	"Nod2 is both a positive and negative regulator of Tlr4 - the effect it exerts is dependent on the presence of MDP. Nod2 upon engagement with its ligand, MDP, positively regulates Tlr4-mediated signaling; in the absence of MDP, Nod2 negatively regulates the Tlr4 pathway.
"
179050	Nod2	10090	21236705	"Nod2 is a peripheral peptidoglycan intracellular sensor and is important for the progression and pathogenesis of experimental autoimmune encephalomyelitis (animal model of multiple sclerosis). 
"
179050	Nod2	10090	21108472	"Nod2 detects heat-killed Legionella pneumophila and stimulates NFkB and IFN-beta promoter activity. Nod2 deficiency results in increased proinflammatory cytokine expression at 4hrs and greater neutrophil recruitment to the lung.
"
179050	Nod2	10090	21690088	"Ddx58 and Nod2 colocalize to cellular ruffles and cell-cell junctions to form a protein complex via the CARD domains. Ddx58 negatively regulates ligand-induced NFkB signalling mediated by Nod2, and conversely, Nod2 negatively regulates type I interferon induction by Ddx58. (Demonstrated in human)"
179050	Nod2	10090	22750073	"Nod2 recognition of muramyl dipeptide, a component of bacterial cell walls, improves the barrier function of intestinal epithelial cells."
179050	Nod2	10090	22531915	Nod2 enhances the innate immune response of alveolar macrophages to Mycobacterium tuberculosis in human. (Demonstrated in human)
179050	Nod2	10090	24163408	"Nod1 and Nod2 synergize with Tlr4 in dendritic cells to increase IL12 production and enhance invariant natural killer T (iNKT) cell activation, and are important regulators of the IFN gamma response by iNKT cells during S. typhimurium and L. monocytogenes infections."
179050	Nod2	10090	25423082	"Salmonella enterica serovar Typhimurium ΔmsbB that possesses a modified lipid A triggers exacerbated colitis in the absence of Nod1 and/or Nod2, which is likely due to increased Tlr2 stimulation."
179050	Nod2	10090	25817335	Nod2 regulates type-1 cytokine responses to Mycobacterium avium but is not required for the control of M. avium infection in vivo.
179050	Nod2	10090	26444420	Leukotriene B4 acts on Nod2 pathway to enhance the immune response against influenza A infection.
205910	Il1a	10090	24022484	Under acidic conditions both pro-inflammatory forms of  Il1a and Il1b are regulated independently of the NLRP3 inflammasome.
205910	Il1a	10090	24651866	"In response to adenovirus infection, the IL1A-IL1R1-CXCR2 signalling axis cooperates with complement to recruit Ly-6G+7/4+ polymorphonuclear leukocytes to the splenic marginal zone (MZ) in the proximity of virus-containing MARCO+ residential MZ macrophages, which are subsequently eliminated."
205910	Il1a	10090	26536497	NLRP3 inflammasome formation is dispensable for alum-induced innate immunity but Il1a and Il1b are both necessary for alum-induced neutrophil influx in vivo.
205910	Il1a	10090	26439902	Il1a directly senses DNA damage and acts as signal for genotoxic stress without loss of cell integrity.
66482	IL1A	9606	25463072	Interleukin-1 (IL1A/IL1B) plays a key role in the interaction between local vessel wall cells and invading monocytes to multiply cholesterol-triggered inflammation in the vessel wall.
66482	IL1A	9606	25474109	"IFNG interferes with the IL-1/NFKBIZ axis in β-glucan-activated dendritic cells and promotes T cell-mediated immune responses with increased release of IFNG and IL22, and diminished production of IL17A."
66482	IL1A	9606	25964352	CASP4 is a critical regulator of noncanonical inflammasome activation that initiates defence against bacterial pathogens in primary macrophages by mediating cell death and IL1A release
66482	IL1A	9606	26439902	IL1A directly senses DNA damage and acts as signal for genotoxic stress without loss of cell integrity.
73750	IFIH1	9606	16785313	IFIH1 (MDA5) recognizes distinct RNA viruses and plays a major role in the elimination of RNA viruses in vivo.
73750	IFIH1	9606	15563593	IFIH1 binds V proteins of paramyxoviruses and this inhibit its activation of the IFNB1 (IFN-beta) promoter.
73750	IFIH1	9606	11805321	IFIH1 is a double-stranded RNA-dependent ATPase that contains both a caspase recruitment domain and RNA helicase motifs. IFIH1 may also function as a mediator of interferon (IFN)-induced growth inhibition and/or apoptosis.
73750	IFIH1	9606	20107606	IFIH1 is indispensable for sustained expression of IFN in response to paramyxovirus infection and provide the first evidence of MDA5-dependent containment of in vivo infections caused by (-) sense RNA viruses.
73750	IFIH1	9606	21245317	"IFIH1 is an RNA helicase and is a key component in activating the expression of type I IFN in response to viral infection. Viral mRNA with 5' cap and 3' poly(A) from parainfluenza virus 5 is able to activate IFN expression through RNASEL-IFIH1 signalling pathway.
"
73750	IFIH1	9606	19936053	IFIH1 (MDA5) is responsible for the cytosolic recognition of Legionella pneumophila RNA and the subsequent induction of type I IFN response. (Demonstrated in murine model)
73750	IFIH1	9606	21637773	"IFIH1 deficiency results in a delayed type I IFN and attenuated type III IFN response to rhinovirus infection, leading to a transient increase in viral titer. Upon recognition of viral dsRNA, IFIH1 synergizes with TLR3 to induce pro-inflammatory signals leading to airways inflammation and hyper-responsiveness. (Demonstrated in murine model)"
73750	IFIH1	9606	23328395	Paramyxovirus V proteins bind to IFIH1 (MDA5) to disrupt viral RNA recognition and induction of antiviral immunity.
73750	IFIH1	9606	24550253	The antisense L region of encephalomyocarditis virus associates with DDX58 and is a key determinant of IFIH1 stimulation of infected cells.
73750	IFIH1	9606	25463548	IFIH1 recognizes hepatitis C virus (HCV) to initiate host interferon response during HCV infection.
73750	IFIH1	9606	26074083	"DDX58 is the primary pattern recognition receptor (PRR) for influenza A virus (IAV), but IFIH1 is a significant contributor to the cellular defense against IAV."
73750	IFIH1	9606	25878102	"EFTUD2 is a novel innate immune antiviral regulator that restricts hepatitis C virus infection through a DDX58/IFIH1-mediated, JAK-STAT-independent pathway."
54412	EFTUD2	9606	25878102	"EFTUD2 is a novel innate immune regulator that restricts hepatitis C virus infection through an RIG-I/MDA5-mediated, JAK-STAT-independent pathway."
54412	EFTUD2	9606	25878102	"EFTUD2 is a novel innate immune antiviral regulator that restricts hepatitis C virus infection through a DDX58/IFIH1-mediated, JAK-STAT-independent pathway."
154818	Tlr2	10090	18768838	Tlr2 expression in astrocytes is induced by TNF alpha and NF Kappa B-dependent pathways.
154818	Tlr2	10090	18621910	Tlr2 recognition of Staphylococcal peptidoglycan leads to induction of beta-defensin-2.
154818	Tlr2	10090	19019963	Tlr2 is involved in Respiratory syncytial virus (RSV) recognition and subsequent innate immune activation by promoting neutrophil migration and dendritic cell activation within the lung.
154818	Tlr2	10090	19865078	"Tlr4, Tlr2, or Tlr3 cooperate with proteinase-activated receptors (PARs) for activation of nuclear factor-kappaB-dependent signaling in mucosal epithelial cell lines."
154818	Tlr2	10090	9751057	Tlr2 is a signaling receptor that is activated by lipopolysaccharide (LPS) in a response that depends on LPS-binding protein and is enhanced by CD14.
154818	Tlr2	10090	10364168	Tlr2 is a signal transducer for soluble Peptidoglycan and lipoteichoic acid (LTA) in addition to LPS.
154818	Tlr2	10090	10384090	"Tlr2 recognizes Gram-positive bacterial cell wall components, leading to the activation of the innate immune system."
154818	Tlr2	10090	10426996	"Tlr2 is a molecular link between microbial products, apoptosis, and host defense mechanisms."
154818	Tlr2	10090	20167866	"TLR2/MyD88/PI3K/Rac1/Akt pathway mediates the activation of LTA-induced mitogen-activated protein kinases (MAPKs), which in turn initiates the activation of NF-kappaB, and ultimately induces cPLA2/COX-2-dependent PGE2 and IL-6 generation."
154818	Tlr2	10090	20385881	Tlr2 and Tlr4 activate murine macrophages and this is negatively regulated by a Lyn/PI3K module and promoted by SHIP1.
154818	Tlr2	10090	20407745	"Tlr2 is a molecular link between increased dietary lipid intake and the regulation of glucose homeostasis, via regulation of energy substrate utilization and tissue inflammation."
154818	Tlr2	10090	20422028	Tlr2 activation induces type I interferon responses from endolysosomal compartments where it is translocated to upon ligand engagement.
154818	Tlr2	10090	20368346	"Tlr2 and Myd88-dependent phosphatidylinositol 3-kinase and Rac1 activation facilitates the phagocytosis of Listeria monocytogenes by murine macrophages.
"
154818	Tlr2	10090	21439957	Tlr1 :: Tlr2 dimeric pairs recognize malarial glycosylphosphatidylinositols (GPI) to initiates intracellular signalling and the production of pro-inflammatory cytokines.
154818	Tlr2	10090	21454596	"Tlr2 recognizes Thermus aquaticus extracellular polysacchride, YT-1, and induces the production of cytokines TNF and IL6 in peritoneal macrophages."
154818	Tlr2	10090	21482737	"Tlr2::Tlr6 synergistically interacts with Tlr9 in lung epithelium to induce rapid pathogen killing, and can be used as a therapeutic target to treat otherwise lethal pneumonia."
154818	Tlr2	10090	21512004	"Tlr2 is activated by gut commensal microbe, Bacteroides fragilis, to establish host-microbial symbiosis by promoting immunological tolerance. 
"
154818	Tlr2	10090	21566133	"Tlr2 and Tnfsf11 signalling pathways are modulated by Porphromonas gingivalis to alter the differentiation states of osteoclasts resulting in bacteria-mediated bone loss. 
"
154818	Tlr2	10090	21602496	"Tlr2 is expressed by Muller cells, principal glia of retina, and is responsible for generating robust bactericidal activity against Staphylococcus aureusand contributing to retinal innate defence.
"
154818	Tlr2	10090	21698237	Tlr2 is required for rapid inflammasome activation in response to infection by cytosolic bacterial pathogens such as Francisella novicida.
154818	Tlr2	10090	21862586	"Tlr2-driven integration of inducible nitric oxide synthase (iNOS), Wnt-beta-Catenin and Notch1 signalling  contributes to its capacity to regulate a battery of genes associated with T regulatory cell lineage commitment and towards modulation of defined set of effector functions in macrophages."
154818	Tlr2	10090	21873606	"Tlr2 directly recognizes glycogen, resulting in the activation of immunocytes such as macrophages to enhance the production of nitric oxide and inflammatory cytokines."
154818	Tlr2	10090	22096480	Tlr2 and Tlr4 are crucial for in vivo recognition of Chlamydia pneumoniae. Tlr2/4 double-deficient mice were unable to control pneumonia caused by C. pneumoniae. 
154818	Tlr2	10090	22102818	Tlr2 signalling promotes protective vaccine-enhancing Th17 cell responses when cells are stimulated with early secreted antigenic target protein 6 (ESAT-6) expressed by the virulent Mycobacterium tuberculosis strain H37Rv but not by tuberculosis vaccine Bacillus Calmette-Guérin (BCG).
154818	Tlr2	10090	22174456	"Tlr2 recognizes Mycobacterium tuberculosis H37Rv cell surface lipoprotein MPT83, which induces the production of Tnf, Il6, and Il12b cytokines by macrophages and upregulates macrophage function."
154818	Tlr2	10090	22216191	Mycobacterium abscessus glycopeptidolipid (GPL) prevents Tlr2-mediate induction of Il8 and Defb4a in respiratory epithelial cells. (Demonstrated in human)
154818	Tlr2	10090	23994200	"Tlr2 is expressed in the enteric nervous system (ENS) and intestinal smooth muscle layers. Its absence induces architectural and neurochemical coding changes in the ENS, leading to gut dysmotility and to higher inflammatory bowel diseases susceptibility "
154818	Tlr2	10090	25423082	"Salmonella enterica serovar Typhimurium ΔmsbB that possesses a modified lipid A triggers exacerbated colitis in the absence of Nod1 and/or Nod2, which is likely due to increased Tlr2 stimulation."
154818	Tlr2	10090	25505250	Adaptor proteins Ticam1 and Ticam2 have a novel function in Tlr2-mediated signal transduction.
154818	Tlr2	10090	25826367	"Retinoic acid treatment enhances Tlr2-dependent Il10 production from T cells and this, in turn, potentiates T regulatory cell generation without the need for activation of antigen presenting cells."
154818	Tlr2	10090	25586105	"Proline-proline-glutamic acid 57 (PPE57), located on the mycobacterial cell surface, induces a T helper 1 immune response via Tlr2-mediated macrophage functions. "
154818	Tlr2	10090	26078314	Tlr2 is essential for the immune responses to cholera vaccination.
154818	Tlr2	10090	26283364	"Staphylococcal superantigen-like protein 3 (SSL3) interferes with Tlr2 activation at two stages. First by binding to Tlr2 and blocking ligand binding and second by interacting with an already formed Tlr2-lipopeptide complex, thus preventing TLR heterodimerization and downstream signalling."
154818	Tlr2	10090	26310831	"Peli3 is involved in endotoxin tolerance and functions as a negative regulator of Tlr2/4 signalling.

"
154818	Tlr2	10090	26423153	Cytokine activation as a result of Tlr2 stimulation is mediated by the phagosomal trafficking molecule Ap3b1 (AP-3).
173348	Ap3b1	10090	21045126	"Ap3b1 (AP-3), a lysosome-related organelle trafficking and biogenesis protein, is required for the production of pro-inflammatory cytokines in plasmacytoid dendritic cells upon recognition of viral nucleic acids by endosomal Tlr7 or Tlr9."
173348	Ap3b1	10090	21119105	"Ap3b1 is crucial for the trafficking of Tlr9 to specific endosomal compartments for the induction of type I interferon.
"
173348	Ap3b1	10090	26423153	Cytokine activation as a result of Tlr2 stimulation is mediated by the phagosomal trafficking molecule Ap3b1 (AP-3).
195818	Tlr9	10090	11286707	Tlr9 binds CpG DNA and induces dendritic cell maturation in a MyD88-dependent manner in mice.
195818	Tlr9	10090	19923461	"Tlr9 engages in signalling crosstalk with Tlr4 during activation, and as a result, amplifies the inflammatory response of murine macrophages."
195818	Tlr9	10090	17452530	"Tlr9, 7, and 3 interact with the endoplasmic reticulum (ER) membrane protein Unc93b and this is essential for proper TLR signaling."
195818	Tlr9	10090	21376231	"Tlr9 signalling enhances the rate of acidification of the Salmonella-containing phagosome, and this acidification induces the expression of Salmonella pathogenecity genes that are necessary for intracellular survival, growth, and systemic infection. Tlr9 deficiency rescues the high Salmonella susceptibility phenotype observed in Tlr2,Tlr4 double mutant mice."
195818	Tlr9	10090	21389263	Tlr9 triggers plasmacytoid dendritic cells in Systemic Lupus Erythematosus patients upon recognition of self-antigens such as neutrophil extracellular traps (NETs). (Demonstrated in human)
195818	Tlr9	10090	21402738	Tlr9 requires proteolytic processing in endolysosome by asparagine endopeptidase and cathepsin in the endolysosome to initiate signalling in response to DNA.
195818	Tlr9	10090	21439959	"Tlr9 deficiency reduced pancreatic edema, inflammation and pro-Il1b expression in pacreatitis."
195818	Tlr9	10090	21482737	"Tlr9 synergistically interacts with Tlr2::Tlr6 in lung epithelium to induce rapid pathogen killing, and can be used as a therapeutic target to treat otherwise lethal pneumonia."
195818	Tlr9	10090	21604257	"Tlr9 is proteolytically cleaved in the endosome to form a soluble Tlr9 (sTlr9), which inhibits Tlr9-dependent signalling and contributes to the prevention of autoimmune disease."
195818	Tlr9	10090	21721026	"Tlr9 activation is enhanced by increased levels of circulating histones, serving as a crucial link between initial damage and activation of innate immunity during sterile inflammation"
195818	Tlr9	10090	21860217	"Tlr9 promotes macrophage Hif1a levels, oxidative burst and nitric oxide production in response to group A Streptococcus (GAS), contributing to GAS clearance in vivo in both localized cutaneous and systemic infection models."
195818	Tlr9	10090	21947771	Tlr9 is selectively compartmentalized to fungal phagosomes and negatively modulates macrophage anti-fungal effector functions.
195818	Tlr9	10090	22342842	Tlr9 expression and signalling capacity oscillates with the circadian clock.
195818	Tlr9	10090	22535248	Mitochondrial DNA that escapes from autophagy induces Tlr9 inflammatory responses in cardiomyocytes and is capable of inducing myocarditis and dilated cardiomyopathy.
195818	Tlr9	10090	23071157	TLR9 activation by endogenous self-ligands generated during oxidative stress promotes platelet hyper-reactivity and thrombosis.
195818	Tlr9	10090	23142781	Tlr9 contributes to the control of activated endogenous retroviruses (ERVs) and ERV-induced tumours.
195818	Tlr9	10090	23752491	The N-terminal region of TLR9 is cleaved in the endolysosome to form an intracellular DNA sensor with the C-terminal TLR9.
195818	Tlr9	10090	24270517	"Mir126-Kdr axis is an important regulator of the innate response. Mir126 controls the survival and function of plasmacytoid dendritic cells and regulates gene expression of Tlr7, Tlr9, Nfkb1 and Kdr. "
195818	Tlr9	10090	25600358	Dnase2a is required for Tlr9 activation by bacterial genomic DNA. 
195818	Tlr9	10090	26957214	Tyrosine phosphorylation is essential for Tlr9 protein stability and signalling.
195818	Tlr9	10090	26416273	Tlr9 activation requires a single CpG positioned 4-6 nucleotides from the 5'-end and this activation is augmented by a 5'TCC sequence one to three nucleotides from the CG. 
162198	Ifnb1	10090	21408089	"Ifnb1 deficiency results in a partial suppression of the sterol pathway in macrophages during viral infections, thereby linking the regulation of lipid metabolism pathway with interferon anti-viral defence responses."
162198	Ifnb1	10090	21602824	"Ifnb1 secretion is greater upon viable E. coli infection in comparison to heat killed E. coli vaccine or LPS. The induction of Ifnb1 is dependent on Ticam1-Irf3 signalling.
"
162198	Ifnb1	10090	22291574	Ifnb1 expression pattern during viral infection is a highly stochastic process influenced by cell-to-cell variability in viral induction processes.
162198	Ifnb1	10090	22912878	Ifnb1 production is fundamental to the efficient control of Listeria monocytogenes during the early innate phase of infection. NK cells treated with Ifnb1 during early infection were able to reduce bacterial titer in the spleen and significantly improve survival of infected mice. 
162198	Ifnb1	10090	24656046	"The noncanonical NFκB pathway regulates histone modifications at the Ifnb1 promoter resulting in attenuated recruitment of Rela and  histone demethylase, Kdm4a, to the Ifnb1 promoter.  This provides a mechanism for regulating the induction of type I interferons ."
162198	Ifnb1	10090	25517615	The innate immune system plays a role in immunogenic tumour recognition. Tumor-cell-derived DNA triggers Ifnb1 production and dendritic cell activation via Tmem173 and Irf3 cytosolic DNA sensing pathways.
162198	Ifnb1	10090	26202980	Ifnb1 selectively restricts the transcriptional responses mediated by both the TLRs and the NOD-like receptors in Salmonella enterica serovar Typhimurium infection in macrophages. 
162198	Ifnb1	10090	26416280	"Atf3 plays an important role in modulating IFN responses in macrophages by controlling basal and inducible levels of Ifnb1, as well as the expression of genes downstream of IFN signalling."
208712	Atf3	10090	24317040	Atf3 has been identified as a high-density lipoprotein –inducible negative regulator of macrophage activation.
208712	Atf3	10090	26416280	"Atf3 plays an important role in modulating IFN responses in macrophages by controlling basal and inducible levels of Ifnb1, as well as the expression of genes downstream of IFN signalling."
178924	Nlrp3	10090	19362020	"Nlrp3 mediated immune responses can be activated by RNA and mice lacking Nlrp3, or other inflammasome components, exhibit increased mortality and a reduced immune response after influenza virus exposure.
"
178924	Nlrp3	10090	19362023	"Nlrp3(-/-) mice exhibit increased morbidity after infection with a pathogenic influenza A virus correlating with decreased neutrophil and monocyte recruitment and reduced IL-1beta, IL-18, TNF-alpha, IL-6, KC, MIP2, and IFN-alpha production."
178924	Nlrp3	10090	21278344	"Nlrp3 is directly activated by certain antibiotics and plays an important role in the antibiotic-mediated secretion of Il1b. In the case of polymyxin B, Nlrp3 was also required for the neutrophil influx into the peritoneal cavity.
"
178924	Nlrp3	10090	21289120	"Nlrp3 inflammasome is essential for host defence against influenza and other RNA viruses (i.e. EMCV, VSV)."
